perk_id,pct,history,label
101,32.85,"[{'pct': 34.26, 'count': 38667, 'escape_rate': 34.54, 'end': '2025-08-03'}, {'pct': 32.45, 'count': 37921, 'escape_rate': 32.63, 'end': '2025-06-17'}, {'pct': 33.23, 'count': 53201, 'escape_rate': 31.03, 'end': '2025-05-06'}, {'pct': 30.91, 'count': 86299, 'escape_rate': 31.96, 'end': '2025-04-02'}, {'pct': 30.58, 'count': 78169, 'escape_rate': 31.8, 'end': '2025-01-29'}, {'pct': 34.22, 'count': 70362, 'escape_rate': 32.19, 'end': '2024-11-28'}, {'pct': 29.66, 'count': 59029, 'escape_rate': 30.26, 'end': '2024-10-08'}, {'pct': 36.19, 'count': 53791, 'escape_rate': 30.62, 'end': '2024-08-27'}, {'pct': 34.76, 'count': 146864, 'escape_rate': 29.54, 'end': '2024-07-16'}, {'pct': 29.5, 'count': 129466, 'escape_rate': 32.73, 'end': '2024-06-03'}]",Windows of Opportunity
73,20.73,"[{'pct': 21.51, 'count': 24278, 'escape_rate': 34.2, 'end': '2025-08-03'}, {'pct': 19.82, 'count': 23159, 'escape_rate': 32.5, 'end': '2025-06-17'}, {'pct': 20.26, 'count': 32440, 'escape_rate': 31.18, 'end': '2025-05-06'}, {'pct': 18.77, 'count': 52407, 'escape_rate': 32.18, 'end': '2025-04-02'}, {'pct': 19.13, 'count': 48906, 'escape_rate': 31.78, 'end': '2025-01-29'}, {'pct': 21.84, 'count': 44910, 'escape_rate': 32.37, 'end': '2024-11-28'}, {'pct': 19.23, 'count': 38273, 'escape_rate': 30.4, 'end': '2024-10-08'}, {'pct': 23.8, 'count': 35380, 'escape_rate': 30.85, 'end': '2024-08-27'}, {'pct': 23.49, 'count': 99236, 'escape_rate': 29.7, 'end': '2024-07-16'}, {'pct': 19.38, 'count': 85074, 'escape_rate': 33.18, 'end': '2024-06-03'}]",Lithe
8,19.31,"[{'pct': 19.77, 'count': 22311, 'escape_rate': 35.37, 'end': '2025-08-03'}, {'pct': 17.89, 'count': 20913, 'escape_rate': 33.73, 'end': '2025-06-17'}, {'pct': 20.92, 'count': 33500, 'escape_rate': 32.6, 'end': '2025-05-06'}, {'pct': 16.07, 'count': 44862, 'escape_rate': 32.92, 'end': '2025-04-02'}, {'pct': 15.07, 'count': 38515, 'escape_rate': 32.26, 'end': '2025-01-29'}, {'pct': 16.04, 'count': 32978, 'escape_rate': 32.83, 'end': '2024-11-28'}, {'pct': 14.78, 'count': 29422, 'escape_rate': 31.42, 'end': '2024-10-08'}, {'pct': 19.46, 'count': 28924, 'escape_rate': 30.82, 'end': '2024-08-27'}, {'pct': 20.19, 'count': 85293, 'escape_rate': 31, 'end': '2024-07-16'}, {'pct': 15.72, 'count': 68974, 'escape_rate': 33.74, 'end': '2024-06-03'}]",Resilience
2,18.01,"[{'pct': 18.02, 'count': 20341, 'escape_rate': 34.9, 'end': '2025-08-03'}, {'pct': 14.81, 'count': 17311, 'escape_rate': 32.34, 'end': '2025-06-17'}, {'pct': 13.33, 'count': 21345, 'escape_rate': 30.67, 'end': '2025-05-06'}, {'pct': 14.05, 'count': 39212, 'escape_rate': 31.4, 'end': '2025-04-02'}, {'pct': 13.67, 'count': 34935, 'escape_rate': 30.65, 'end': '2025-01-29'}, {'pct': 15.56, 'count': 31992, 'escape_rate': 32.43, 'end': '2024-11-28'}, {'pct': 12.99, 'count': 25857, 'escape_rate': 30.15, 'end': '2024-10-08'}, {'pct': 14.28, 'count': 21218, 'escape_rate': 29.94, 'end': '2024-08-27'}, {'pct': 16.17, 'count': 68312, 'escape_rate': 30.27, 'end': '2024-07-16'}, {'pct': 12.02, 'count': 52752, 'escape_rate': 33.14, 'end': '2024-06-03'}]",Deja Vu
32,13.95,"[{'pct': 14.72, 'count': 16611, 'escape_rate': 36.96, 'end': '2025-08-03'}, {'pct': 12.26, 'count': 14326, 'escape_rate': 35.03, 'end': '2025-06-17'}, {'pct': 13.69, 'count': 21913, 'escape_rate': 32.61, 'end': '2025-05-06'}, {'pct': 14.19, 'count': 39626, 'escape_rate': 33.89, 'end': '2025-04-02'}, {'pct': 11.74, 'count': 30010, 'escape_rate': 33.58, 'end': '2025-01-29'}, {'pct': 13.23, 'count': 27196, 'escape_rate': 34.82, 'end': '2024-11-28'}, {'pct': 10.63, 'count': 21155, 'escape_rate': 30.94, 'end': '2024-10-08'}, {'pct': 12.56, 'count': 18661, 'escape_rate': 30.51, 'end': '2024-08-27'}, {'pct': 12.77, 'count': 53967, 'escape_rate': 30.11, 'end': '2024-07-16'}, {'pct': 11.41, 'count': 50095, 'escape_rate': 33.62, 'end': '2024-06-03'}]",Sprint Burst
262,12.51,"[{'pct': 12.09, 'count': 13645, 'escape_rate': 34.99, 'end': '2025-08-03'}, {'pct': 8.89, 'count': 10394, 'escape_rate': 32.73, 'end': '2025-06-17'}, {'pct': 7.31, 'count': 11698, 'escape_rate': 30.87, 'end': '2025-05-06'}, {'pct': 8.9, 'count': 24842, 'escape_rate': 33, 'end': '2025-04-02'}, {'pct': 9.12, 'count': 23319, 'escape_rate': 32.26, 'end': '2025-01-29'}, {'pct': 7.83, 'count': 16100, 'escape_rate': 33.07, 'end': '2024-11-28'}, {'pct': 6.32, 'count': 12589, 'escape_rate': 31.38, 'end': '2024-10-08'}, {'pct': 10.47, 'count': 15557, 'escape_rate': 32.23, 'end': '2024-08-27'}, {'pct': 0, 'count': 2, 'escape_rate': 0, 'end': '2024-07-16'}]",Finesse
78,12.32,"[{'pct': 12.31, 'count': 13894, 'escape_rate': 36.48, 'end': '2025-08-03'}, {'pct': 12.56, 'count': 14676, 'escape_rate': 35.68, 'end': '2025-06-17'}, {'pct': 11.84, 'count': 18950, 'escape_rate': 32.39, 'end': '2025-05-06'}, {'pct': 12.01, 'count': 33528, 'escape_rate': 33.23, 'end': '2025-04-02'}, {'pct': 10.44, 'count': 26694, 'escape_rate': 32.52, 'end': '2025-01-29'}, {'pct': 11.48, 'count': 23600, 'escape_rate': 33.59, 'end': '2024-11-28'}, {'pct': 10.19, 'count': 20279, 'escape_rate': 33.22, 'end': '2024-10-08'}, {'pct': 11.02, 'count': 16379, 'escape_rate': 31.48, 'end': '2024-08-27'}, {'pct': 11.6, 'count': 49032, 'escape_rate': 30.55, 'end': '2024-07-16'}, {'pct': 10.04, 'count': 44076, 'escape_rate': 34.1, 'end': '2024-06-03'}]",Dead Hard
57,9.52,"[{'pct': 10.07, 'count': 11366, 'escape_rate': 37.19, 'end': '2025-08-03'}, {'pct': 9.45, 'count': 11047, 'escape_rate': 35.82, 'end': '2025-06-17'}, {'pct': 9.89, 'count': 15837, 'escape_rate': 34.36, 'end': '2025-05-06'}, {'pct': 10.36, 'count': 28921, 'escape_rate': 34.11, 'end': '2025-04-02'}, {'pct': 8.76, 'count': 22385, 'escape_rate': 33.19, 'end': '2025-01-29'}, {'pct': 9.61, 'count': 19758, 'escape_rate': 33.78, 'end': '2024-11-28'}, {'pct': 8.46, 'count': 16845, 'escape_rate': 31.7, 'end': '2024-10-08'}, {'pct': 10.25, 'count': 15231, 'escape_rate': 31.91, 'end': '2024-08-27'}, {'pct': 10.97, 'count': 46369, 'escape_rate': 29.67, 'end': '2024-07-16'}, {'pct': 12.28, 'count': 53895, 'escape_rate': 34.06, 'end': '2024-06-03'}]",Decisive Strike
88,9.34,"[{'pct': 8.21, 'count': 9260, 'escape_rate': 37.59, 'end': '2025-08-03'}, {'pct': 4.49, 'count': 5251, 'escape_rate': 37.23, 'end': '2025-06-17'}, {'pct': 3.9, 'count': 6244, 'escape_rate': 34, 'end': '2025-05-06'}, {'pct': 3.97, 'count': 11090, 'escape_rate': 35.13, 'end': '2025-04-02'}, {'pct': 2.06, 'count': 5277, 'escape_rate': 31.82, 'end': '2025-01-29'}, {'pct': 1.66, 'count': 3407, 'escape_rate': 34.16, 'end': '2024-11-28'}, {'pct': 1.76, 'count': 3501, 'escape_rate': 31.33, 'end': '2024-10-08'}, {'pct': 1.77, 'count': 2629, 'escape_rate': 30.09, 'end': '2024-08-27'}, {'pct': 2.01, 'count': 8475, 'escape_rate': 30.04, 'end': '2024-07-16'}, {'pct': 2.24, 'count': 9820, 'escape_rate': 32.45, 'end': '2024-06-03'}]",Vigil
37,8.95,"[{'pct': 9.37, 'count': 10575, 'escape_rate': 34.81, 'end': '2025-08-03'}, {'pct': 10.52, 'count': 12301, 'escape_rate': 33.01, 'end': '2025-06-17'}, {'pct': 10.02, 'count': 16039, 'escape_rate': 31.19, 'end': '2025-05-06'}, {'pct': 8.6, 'count': 24021, 'escape_rate': 31.05, 'end': '2025-04-02'}, {'pct': 10.35, 'count': 26462, 'escape_rate': 31.11, 'end': '2025-01-29'}, {'pct': 11.11, 'count': 22849, 'escape_rate': 32.08, 'end': '2024-11-28'}, {'pct': 12.24, 'count': 24370, 'escape_rate': 30.58, 'end': '2024-10-08'}, {'pct': 14.21, 'count': 21124, 'escape_rate': 31.63, 'end': '2024-08-27'}, {'pct': 3.11, 'count': 13141, 'escape_rate': 29.4, 'end': '2024-07-16'}, {'pct': 3.21, 'count': 14088, 'escape_rate': 32.39, 'end': '2024-06-03'}]",Iron Will
